MonthlyCharge,Tenure,Churn,Number
172.455519,6.795512947,False,0
242.632554,1.156680997,True,1
159.947583,15.75414408,False,2
119.95684,17.08722662,False,3
149.948316,1.670971726,True,4
185.007692,7.000993555,False,5
200.118516,13.23677381,True,6
114.950905,4.26425515,True,7
117.468591,8.220686373,False,8
162.482694,3.422086139,False,9
174.958118,19.26726194,False,10
149.962093,10.52199781,False,11
137.439154,13.01149229,False,12
184.971516,16.87922024,False,13
159.965581,10.06019902,True,14
177.65076,13.87001293,True,15
194.966286,15.78214958,True,16
202.682861,2.303331273,True,17
152.490739,17.10995632,False,18
149.944668,12.80615845,True,19
184.978458,20.45390977,False,20
127.495766,2.415991977,False,21
124.964303,6.652298992,False,22
149.948316,8.543717478,False,23
162.511928,5.770390256,True,24
92.455141,4.157658837,True,25
222.649979,10.40566091,True,26
139.981577,1.392421597,True,27
200.132293,1.430386349,True,28
257.651257,5.425864884,True,29
230.105118,11.08287797,False,30
147.489301,3.586184954,False,31
230.105118,4.727388465,True,32
174.958118,20.89923386,True,33
267.664655,3.471329958,True,34
162.483267,5.478588204,True,35
229.993134,3.312991809,True,36
140.00128,7.161561527,False,37
184.964681,9.847563364,False,38
147.473844,16.04202196,False,39
172.457857,9.179779682,False,40
107.481989,3.002844144,False,41
255.141716,3.924254455,True,42
192.456745,18.55959629,False,43
242.632554,8.798394712,True,44
245.174977,10.377366,True,45
184.964681,22.25746016,True,46
195.006206,9.427146079,True,47
104.962874,7.760290062,False,48
92.488023,11.56938439,False,49
184.979684,3.343811019,True,50
187.656013,7.338869531,True,51
149.962093,5.486534225,False,52
169.944668,1.55278221,True,53
160.00128,12.07970325,True,54
129.962093,13.98666226,False,55
114.950905,9.563362997,True,56
142.515576,6.732948946,False,57
220.14775,15.72071086,True,58
124.97808,7.233605493,False,59
164.964681,2.871017037,False,60
194.976769,2.344875382,False,61
152.455519,7.960490246,True,62
92.5018,12.25062113,False,63
127.488728,9.634946079,False,64
184.963371,7.916533093,False,65
265.146969,4.471254161,True,66
207.609354,10.79028074,True,67
152.462354,12.24190682,False,68
200.132293,2.203859443,True,69
212.655686,23.92132231,True,70
255.119794,3.7311787,True,71
134.950905,7.980015371,False,72
255.137219,9.190009376,True,73
214.966286,2.378630018,True,74
270.160419,5.43464555,True,75
200.165175,1.092361222,True,76
149.937833,20.13981517,False,77
240.114868,24.64873861,True,78
127.495766,9.677739656,False,79
187.609354,9.82814183,True,80
169.992756,7.832238337,False,81
192.456745,19.45250317,False,82
120.004928,14.34766616,False,83
195.006206,2.257358355,False,84
139.95684,2.358129018,False,85
114.983787,4.650578623,False,86
207.638588,3.721772616,True,87
187.609354,3.76663012,True,88
134.950905,4.151256695,False,89
192.470522,2.188918771,True,90
222.628057,13.85488928,True,91
162.468917,3.273341151,False,92
159.979358,19.75096265,True,93
184.979684,18.38404445,False,94
245.145743,4.672610857,True,95
124.97808,6.796299371,False,96
187.484705,12.97632235,True,97
162.500692,20.31163945,False,98
182.467607,6.998814446,False,99
222.660939,14.46288204,True,100
182.467607,11.13472066,False,101
220.161527,2.542296644,True,102
169.937833,17.22596021,False,103
204.963371,22.79214163,True,104
204.963371,3.823689744,True,105
245.128318,10.77094687,True,106
172.473314,13.08671185,True,107
172.456745,14.76468813,True,108
194.976769,9.473091121,True,109
137.439154,5.197446331,False,110
192.470522,6.577552683,True,111
159.951231,3.174571918,True,112
112.455141,17.88002366,False,113
174.961766,13.12190056,True,114
162.452604,23.34617699,False,115
137.483594,6.311709178,False,116
275.133571,12.58298231,False,117
127.442069,7.120096363,True,118
210.138,9.344886869,True,119
147.456419,22.37815032,False,120
242.657291,4.799514433,True,121
114.983787,10.04672315,False,122
187.656013,8.156552837,False,123
149.991327,7.992791229,False,124
124.960655,7.231032028,False,125
220.161527,4.627672042,True,126
172.48852,10.05306287,False,127
120.004928,4.171044392,False,128
220.161527,4.568682641,True,129
139.965008,6.085030507,True,130
159.951231,2.730250735,False,131
184.949594,8.574901206,True,132
252.637807,9.743201772,True,133
112.455141,9.482919033,False,134
179.979358,8.447988841,False,135
202.443347,6.365998533,False,136
197.472533,7.251397592,False,137
255.155493,14.64011644,True,138
174.976769,11.71637124,True,139
169.992756,4.13273503,False,140
192.440432,2.887429547,True,141
182.460772,3.303030246,False,142
139.965008,5.15825129,False,143
137.461553,3.237560234,True,144
217.472533,2.733109234,True,145
210.138,3.180102025,True,146
104.964303,15.85983755,False,147
262.610632,11.73724209,True,148
152.488401,7.006240694,True,149
174.974431,5.562130367,True,150
220.118516,14.53027663,False,151
162.452604,5.905906389,False,152
184.961033,3.260462654,True,153
217.483972,18.91276578,False,154
220.118516,14.25617986,False,155
187.642236,7.983887266,True,156
174.961766,5.969967132,False,157
252.637807,19.95277818,True,158
130.024412,14.85781115,False,159
162.482694,2.600063739,True,160
182.467607,11.92299244,True,161
139.934918,5.972864167,False,162
200.165175,10.87555535,True,163
202.682861,16.00330155,True,164
159.951231,12.63074989,False,165
149.948316,8.4944392,False,166
149.959755,8.044444101,True,167
137.469817,12.07358377,False,168
187.656013,10.21634248,True,169
164.985293,15.50354683,True,170
159.965008,13.88004531,True,171
172.462354,19.48900163,False,172
204.949594,10.01771765,True,173
147.473844,7.34059599,False,174
162.471255,12.64742067,True,175
119.95684,8.850426839,False,176
207.609354,3.701557118,True,177
194.999168,2.976033785,False,178
174.975543,5.522376826,False,179
240.114868,15.64596698,True,180
240.114868,23.00764441,True,181
139.983006,17.24924155,False,182
240.114868,13.01107597,True,183
209.993134,5.104082209,True,184
147.456419,3.521499924,False,185
107.495766,8.08137067,False,186
152.502178,1.875430489,True,187
79.978861,5.587484456,False,188
142.482694,7.007695148,False,189
117.439154,1.408375942,False,190
220.132293,11.64983735,True,191
152.455519,2.964559883,True,192
174.961766,10.25635754,False,193
202.443347,3.892407013,True,194
210.12704,3.226996711,True,195
139.979239,15.87685513,False,196
139.965008,5.874064017,False,197
137.439154,3.756359276,False,198
102.474625,2.905283283,False,199
252.637807,1.474810061,True,200
194.999168,18.56165869,True,201
242.610632,12.39088509,True,202
127.458638,14.17192333,False,203
129.976324,3.86023041,False,204
240.114868,17.72593456,True,205
174.975543,3.043063167,False,206
169.944668,5.827112819,False,207
162.511928,4.648958177,True,208
119.95684,11.96274778,False,209
137.439154,4.525864256,False,210
207.46728,8.038308899,False,211
149.974105,1.416592892,False,212
225.178625,19.83504645,False,213
232.637807,15.85002222,True,214
117.472036,15.94935291,False,215
137.469817,11.94550648,False,216
220.132293,16.03360405,False,217
124.960655,21.29342532,False,218
199.990219,4.95598008,False,219
159.947583,2.73951266,True,220
245.145743,4.973046104,True,221
255.155493,10.28430068,True,222
134.950905,2.581692044,False,223
159.947583,6.945736396,True,224
139.987503,9.999416271,False,225
179.947583,6.035737465,True,226
127.473844,9.004964377,False,227
232.637807,5.071456681,True,228
195.006206,12.02106494,True,229
267.642733,5.049303717,True,230
149.959755,18.17247008,False,231
220.114868,15.31997698,True,232
157.483594,16.0708543,False,233
127.474951,7.873371451,False,234
139.981577,23.62866494,False,235
255.133571,25.8634566,True,236
194.966286,9.405224809,True,237
179.965581,12.84490034,False,238
174.976769,16.59325254,True,239
187.609354,20.35456039,False,240
