,Churn,Tenure,MonthlyCharge,zMonthlyCharge,zTenure
0,False,6.795512947,172.455519,-0.003942361662995729,-1.0486937738929107
1,True,1.156680997,242.632554,1.6302443791492078,-1.261938057622537
2,False,15.75414408,159.947583,-0.29521005580435744,-0.7099043054189451
3,False,17.08722662,119.95684,-1.2264597440510676,-0.659490986860166
4,True,1.670971726,149.948316,-0.5280592998518016,-1.2424890726010218
5,False,7.000993555,185.007692,0.2883554631878392,-1.0409230927550754
6,True,13.23677381,200.118516,0.6402356505389697,-0.8051039540107789
7,True,4.26425515,114.950905,-1.3430311067820198,-1.144418608511594
8,False,8.220686373,117.468591,-1.2844026811335365,-0.9947978448933122
9,False,3.422086139,162.482694,-0.2361758606052133,-1.1762670000086988
10,False,19.26726194,174.958118,0.054334738578841024,-0.5770483685234578
11,False,10.52199781,149.962093,-0.5277384799321772,-0.9077689152544599
12,False,13.01149229,137.439154,-0.8193555434031553,-0.8136234482599243
13,False,16.87922024,184.971516,0.28751304601339467,-0.6673571853756747
14,True,10.06019902,159.965581,-0.2947909430139538,-0.925232807257973
15,True,13.87001293,177.65076,0.11703730009563948,-0.7811566855389851
16,True,15.78214958,194.966286,0.5202575700798158,-0.7088452185653298
17,True,2.303331273,202.682861,0.6999506071179713,-1.218575067031197
18,False,17.10995632,152.490739,-0.46885483280448387,-0.6586314154739521
19,True,12.80615845,149.944668,-0.528144249482838,-0.8213885790573147
20,False,20.45390977,184.978458,0.2876747018079817,-0.5321727863476731
21,False,2.415991977,127.495766,-1.0509035537793585,-1.2143145656823395
22,False,6.652298992,124.964303,-1.1098527993474663,-1.0541097106551442
23,False,8.543717478,149.948316,-0.5280592998518016,-0.9825817446053592
24,True,5.770390256,162.511928,-0.23549509922535583,-1.0874609433910694
25,True,4.157658837,92.455141,-1.8668816691952155,-1.1484497721666669
26,True,10.40566091,222.649979,1.1649175224034731,-0.912168439682888
27,True,1.392421597,139.981577,-0.7601510763558376,-1.2530230312768782
28,True,1.430386349,200.132293,0.6405564704585941,-1.2515873143732714
29,True,5.425864884,257.651257,1.9799793787369855,-1.1004898945693047
30,False,11.08287797,230.105118,1.3385225956972073,-0.8865580529627831
31,False,3.586184954,147.489301,-0.5853214755544129,-1.170061258362939
32,True,4.727388465,230.105118,1.3385225956972073,-1.126904248639865
33,True,20.89923386,174.958118,0.054334738578841024,-0.5153319197565703
34,True,3.471329958,267.664655,2.213157686171539,-1.174404741476457
35,True,5.478588204,162.483267,-0.23616251736546987,-1.098496051392395
36,True,3.312991809,229.993134,1.3359148655760484,-1.1803926314277755
37,False,7.161561527,140.00128,-0.7596922598590412,-1.0348508773596408
38,False,9.847563364,184.964681,0.287353881888358,-0.933274071576747
39,False,16.04202196,147.473844,-0.585681417014646,-0.699017598230907
40,False,9.179779682,172.457857,-0.0038879175189821366,-0.9585277152776244
41,False,3.002844144,107.481989,-1.5169569999953785,-1.1921215173495028
42,True,3.924254455,255.141716,1.9215406227005616,-1.1572764495176289
43,False,18.55959629,192.456745,0.4618188140433919,-0.6038102326812129
44,True,8.798394712,242.632554,1.6302443791492078,-0.9729505896377824
45,True,10.377366,245.174977,1.6894488461965262,-0.9132384711840296
46,True,22.25746016,184.964681,0.287353881888358,-0.4639677370580168
47,True,9.427146079,195.006206,0.5211871724019033,-0.9491730349795099
48,False,7.760290062,104.962874,-1.5756187022400108,-1.0122086992052515
49,False,11.56938439,92.488023,-1.8661159581843216,-0.8681597899922463
