,Churn,Tenure,MonthlyCharge,zTenure,zMonthlyCharge
4847,False,9.525184,92.48802,-0.9454655249087431,-1.8661160280442153
9992,False,56.47233,137.4392,0.8299394899401551,-0.8193544722181149
4621,False,2.611838,124.9643,-1.2069082366293995,-1.1098528692073604
5774,False,58.78687,139.983,0.9174686854969706,-0.7601179394794761
9294,False,64.11559,255.1198,1.118985433942672,1.921030272888666
1085,False,17.48396291,202.443347,-0.6444875700637852,0.6943731329052333
1073,True,16.64037206,142.468917,-0.6763897313915609,-0.7022293068212333
950,False,2.253077812,150.006987,-1.2204755072980644,-0.5266930499059297
9512,False,68.20701,169.9378,1.2737110819267492,-0.06257155577031247
3773,True,4.745801,194.9663,-1.1262079399233549,0.5202578960926539
6474,False,60.6238,127.4738,0.9869360549069532,-1.05141506792282
6976,False,48.29423,194.9525,0.5206674470360821,0.5199365405805094
5715,False,54.78051,132.466,0.7659597602198082,-0.9351635470729764
9164,False,69.62503,104.9629,1.3273364890847483,-1.5756180967875963
4971,True,14.74826,232.624,-0.7479439264001366,1.397178872156743
230,True,5.049303717,267.642733,-1.1147303466787715,2.2126471966398564
9924,False,67.09737,220.1615,1.2317477127226462,1.1069692293958013
4655,True,8.512387,179.9476,-0.98376657249157,0.1705229663647702
1094,True,6.791270714,139.951231,-1.048854202851518,-0.7608577324697167
1729,True,6.027648047,154.991856,-1.0777321992358795,-0.4106122433502552
1556,False,11.32593703,172.487091,-0.8773662636678926,-0.0032071561391246385
9253,False,65.85662,172.4705,1.1848261432586844,-0.003593504639268938
8955,False,51.53504,182.4653,0.6432254897799896,0.22915171802609244
1443,True,7.840871292,182.476229,-1.0091613506008295,0.22940621761973154
5439,False,52.79234,129.9915,0.690772932284152,-0.992786316261498
1234,False,9.417609509,172.510442,-0.9495336804211403,-0.0026633900112918293
9744,False,57.1358,119.9568,0.8550300026882954,-1.22646067551632
9373,False,63.27923,162.497,1.0873567224078104,-0.2358427220576234
460,True,9.461939857,252.62403,-0.9478572351235028,1.8629121970520783
3118,True,11.00718,172.4579,-0.8894207308250728,-0.00388691619383548
6742,False,65.66392,172.4871,1.177538787678829,-0.0032069465594426728
3425,True,5.685414,270.1604,-1.0906744991425836,2.271275179842344
9303,False,60.36923,220.1323,0.977308955218506,1.1062892597614085
2319,False,6.137692,139.9792,-1.0735706558268296,-0.7602064286784728
2117,True,5.003409,197.6288,-1.1164659518786462,0.5822585519683622
881,True,5.295927221,152.47417,-1.1054037604411076,-0.4692406689987392
5002,False,61.5999,169.9671,1.0238493282930288,-0.06188925747278876
1475,True,10.404813,222.649979,-0.9122005051819524,1.1649175224034731
8780,False,60.72007,192.4885,0.9905767073287106,0.4625582810207935
3945,True,25.43212,252.6378,-0.3439113016705408,1.8632328539652832
4813,False,29.58658,114.9509,-0.18680166356838326,-1.3430312232151764
5324,False,47.1075,162.4526,0.4757887574290158,-0.23687664848800197
2502,False,24.14282,162.4713,-0.39266889144276435,-0.23644118848241427
9477,False,61.54459,257.6375,1.0217576643743895,1.9796590245499874
7352,False,66.86351,162.5007,1.2229038052192476,-0.23575656152175903
725,True,9.820011726,159.947583,-0.9343159946847568,-0.29521005580435744
134,False,9.482919033,112.455141,-0.9470638634821724,-1.4011490428988198
6470,False,68.03515,187.4673,1.2672118347552188,0.3456314478628205
1,True,1.156680997,242.632554,-1.261938057622537,1.6302443791492078
6331,False,69.48178,172.4624,1.3219191892050688,-0.0037821263529186216
3750,True,16.05745,117.4392,-0.6984341544666091,-1.2850870985145104
2052,True,2.051657,242.6106,-1.2280926587159535,1.6297331444453225
291,False,18.9537053,169.974105,-0.5889061720009081,-0.06172613462042796
2788,False,6.487048,102.4746,-1.0603590242961813,-1.6335622214882628
3107,False,7.53282,149.9378,-1.0208109577707196,-0.5283041820667082
3473,False,5.318865,129.9621,-1.1045363201101,-0.993470943222154
843,True,5.130341596,212.641455,-1.1116657289324805,0.9318527140099478
8497,False,51.58987,194.9699,0.6452990014896078,0.5203417279653875
5643,False,67.93291,252.6378,1.263345414233764,1.8632328539652832
6151,False,44.75964,127.4601,0.3869994960293315,-1.051734094771833
2631,False,1.84687,137.4872,-1.2358371096092167,-0.8182367139150035
3579,False,13.33383,157.4698,-0.8014335701615004,-0.3529092750034859
3245,False,16.23853,147.4564,-0.6915862336134684,-0.5860876290113021
7463,False,55.19347,162.4827,0.7815767107141364,-0.2361757208854258
683,False,7.847288476,112.484375,-1.0089186712981342,-1.4004682815189624
9333,False,69.69574,129.9621,1.3300105363761423,-0.993470943222154
2562,False,18.81683,184.9647,-0.5940823991996594,0.28735432433435254
7939,False,64.91404,107.4958,1.1491804991359025,-1.5166353883302894
8845,False,53.60305,217.4702,0.7214316351494583,1.0442979185382273
5430,False,67.39149,197.6288,1.2428704788002127,0.5822585519683622
2878,False,6.6307,169.9447,-1.0549265219414465,-0.06241087801424017
868,False,8.791194482,127.458638,-0.9732228814710295,-1.0517681398268153
6053,False,48.02057,127.4421,0.5103184188680323,-1.0521532541354999
9977,False,66.25635,245.1283,1.1999427734918733,1.688361896106644
5658,False,60.76709,127.4738,0.992354867470718,-1.05141506792282
6967,False,56.19888,179.9476,0.8195984033635519,0.1705229663647702
6152,False,65.79896,199.9902,1.1826456091500464,0.637247603155177
6776,False,60.17878,192.4885,0.9701066881184364,0.4625582810207935
8838,True,51.67488,242.6573,0.6485138333414165,1.6308206301277242
5539,False,59.6877,125.0073,0.9515354656059538,-1.1088515440608229
7466,False,64.15093,137.4392,1.120321890331837,-0.8193544722181149
1382,False,4.891651665,130.024412,-1.1206922904297723,-0.9920199066516645
5235,False,71.52864,114.9728,1.3993255028645533,-1.3425212459893818
