,MonthlyCharge,Tenure,Churn,Number
0,172.455519,6.795512947,False,0
1,242.632554,1.156680997,True,1
2,159.947583,15.75414408,False,2
3,119.95684,17.08722662,False,3
4,149.948316,1.670971726,True,4
5,185.007692,7.000993555,False,5
6,200.118516,13.23677381,True,6
7,114.950905,4.26425515,True,7
8,117.468591,8.220686373,False,8
9,162.482694,3.422086139,False,9
10,174.958118,19.26726194,False,10
11,149.962093,10.52199781,False,11
12,137.439154,13.01149229,False,12
13,184.971516,16.87922024,False,13
14,159.965581,10.06019902,True,14
15,177.65076,13.87001293,True,15
16,194.966286,15.78214958,True,16
17,202.682861,2.303331273,True,17
18,152.490739,17.10995632,False,18
19,149.944668,12.80615845,True,19
20,184.978458,20.45390977,False,20
21,127.495766,2.415991977,False,21
22,124.964303,6.652298992,False,22
23,149.948316,8.543717478,False,23
24,162.511928,5.770390256,True,24
25,92.455141,4.157658837,True,25
26,222.649979,10.40566091,True,26
27,139.981577,1.392421597,True,27
28,200.132293,1.430386349,True,28
29,257.651257,5.425864884,True,29
30,230.105118,11.08287797,False,30
31,147.489301,3.586184954,False,31
32,230.105118,4.727388465,True,32
33,174.958118,20.89923386,True,33
34,267.664655,3.471329958,True,34
35,162.483267,5.478588204,True,35
36,229.993134,3.312991809,True,36
37,140.00128,7.161561527,False,37
38,184.964681,9.847563364,False,38
39,147.473844,16.04202196,False,39
40,172.457857,9.179779682,False,40
41,107.481989,3.002844144,False,41
42,255.141716,3.924254455,True,42
43,192.456745,18.55959629,False,43
44,242.632554,8.798394712,True,44
45,245.174977,10.377366,True,45
46,184.964681,22.25746016,True,46
47,195.006206,9.427146079,True,47
48,104.962874,7.760290062,False,48
49,92.488023,11.56938439,False,49
50,184.979684,3.343811019,True,50
51,187.656013,7.338869531,True,51
52,149.962093,5.486534225,False,52
53,169.944668,1.55278221,True,53
54,160.00128,12.07970325,True,54
55,129.962093,13.98666226,False,55
56,114.950905,9.563362997,True,56
57,142.515576,6.732948946,False,57
58,220.14775,15.72071086,True,58
59,124.97808,7.233605493,False,59
60,164.964681,2.871017037,False,60
61,194.976769,2.344875382,False,61
62,152.455519,7.960490246,True,62
63,92.5018,12.25062113,False,63
64,127.488728,9.634946079,False,64
65,184.963371,7.916533093,False,65
66,265.146969,4.471254161,True,66
67,207.609354,10.79028074,True,67
68,152.462354,12.24190682,False,68
69,200.132293,2.203859443,True,69
70,212.655686,23.92132231,True,70
71,255.119794,3.7311787,True,71
72,134.950905,7.980015371,False,72
73,255.137219,9.190009376,True,73
74,214.966286,2.378630018,True,74
